date,station,pm25,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm
2024-02-05,Walled City,155.8,14.1,59.5,3.95,0.0
2023-08-26,DHA,16.8,34.1,64.9,7.12,0.6
2024-07-29, Township ,58.7,41.3,60.8,4.9,0.0
2024-07-12,Johar Town,34.8,32.5,,4.89,0.0
2024-10-21,Township,116.0,23.6,85.9,3.64,0.0
2024-08-24,Township,87.3,36.3,66.9,0.82,0.0
2023-01-17,Johar Town,135.7,8.3,55.9,2.67,0.0
2024-01-02,Johar Town,139.2,9.6,62.9,4.05,0.0
2024-04-09,DHA,73.2,23.0,29.2,3.26,0.0
2023-07-14,Gulberg,10.4,30.8,60.2,1.96,4.6
2023-06-20,Johar Town,29.0,36.5,66.3,2.77,0.0
2024-02-14,Township,157.1,12.2,44.6,2.28,0.0
2024-06-12,DHA,13.2,31.6,46.8,3.23,1.2
2024-08-16,Township,63.4,36.4,62.3,2.31,0.0
2023-04-15,Walled City,107.4,25.5,37.3,1.49,0.0
2023-01-31,Gulberg,140.3,11.9,57.7,0.76,0.0
2024-11-15,Gulberg,122.6,13.5,68.3,3.27,0.0
2024-02-20,Gulberg,95.0,18.5,34.7,4.55,0.0
2023-07-05,DHA,8.0,36.9,72.9,3.09,0.0
2023-04-03,DHA,-999.0,21.0,38.9,0.54,0.0
2024-08-20,Walled City,68.7,31.7,59.3,8.34,2.3
2024-11-09,Township,138.1,16.7,67.1,4.68,0.0
2023-01-24,Johar Town,98.9,17.4,39.7,6.14,0.0
2024-10-26,Gulberg,87.5,20.0,72.4,10.5,0.0
2023-05-02,Township,92.7,24.1,29.0,,0.0
2024-01-26, DHA ,121.3,13.4,52.9,3.27,0.0
2024-07-16,Township,47.3,35.4,44.2,0.42,0.5
2024-07-25,Township,20.3,34.7,52.5,7.48,0.0
2024-08-26,Township,89.3,34.1,79.8,1.98,0.0
2024-11-02,DHA,,23.3,70.9,0.9,0.1
2024-09-09,Johar Town,67.1,30.3,67.3,1.87,0.0
2023-09-19,Township,69.0,29.8,64.7,5.28,0.0
2024-11-22,Gulberg,112.4,17.7,64.0,8.08,0.0
2023-07-16,Gulberg,8.0,36.8,65.8,6.09,0.0
2024-08-05,Township,49.1,34.7,51.8,0.78,2.5
2023-04-03,Walled City,93.9,23.3,38.4,5.18,0.0
2023-09-25,Johar Town,56.4,28.5,71.1,6.23,0.0
2023-06-21,Johar Town,9.5,36.7,43.6,3.71,0.0
2024-09-30,Gulberg,82.5,17.7,84.1,2.96,0.0
2024-12-22,Johar Town,132.4,14.4,57.9,4.73,0.0
2023-09-29,Township,94.6,26.8,78.7,1.58,0.0
2024-10-05,Township,139.1,23.3,81.2,0.41,0.0
2023-04-06,Gulberg,56.8,20.6,36.9,6.04,3.0
2023-07-30,Johar Town,8.0,31.2,42.6,4.92,0.0
2024-06-27,Walled City,60.9,39.5,46.3,4.89,0.0
2023-03-29,Gulberg,86.5,23.1,31.6,6.26,0.0
2024-09-29,Johar Town,83.4,25.2,73.4,1.4,0.0
2023-11-25,Gulberg,156.5,12.7,58.5,3.24,0.0
2023-11-02,DHA,97.4,17.7,66.3,2.34,0.0
2023-12-10,Johar Town,138.8,14.5,67.5,1.71,0.0
2023-06-11,Walled City,61.3,31.9,46.5,1.0,0.0
2023-09-19,Walled City,72.8,27.5,65.0,8.07,0.0
2024-12-19,Gulberg,144.3,10.6,,3.04,0.0
2024-03-21,Walled City,147.7,21.3,37.0,0.31,0.0
2024-01-09,Township,145.3,10.0,58.9,4.06,0.0
2024-05-29,Gulberg,38.5,37.4,41.9,4.85,0.0
2023-03-26,Johar Town,79.1,24.8,39.9,5.36,0.0
2024-07-09,TOWNSHIP,82.6,32.4,45.4,0.93,0.0
2024-03-15,DHA,89.9,11.6,25.4,1.93,0.0
2024-07-25,Gulberg,38.8,38.2,63.1,4.08,0.0
2023-05-20,Walled City,86.5,27.2,42.5,1.4,0.0
2024-04-16,Johar Town,77.6,23.9,53.7,5.11,0.0
2024-09-14,Township,93.9,28.6,75.5,2.78,2.9
2024-03-24,Township,111.6,22.3,34.6,3.41,1.2
2023-07-06,Gulberg,37.6,38.2,48.6,0.12,0.0
2023-05-05,Gulberg,73.5,25.0,32.5,1.63,0.0
2023-06-10,DHA,32.9,34.9,51.9,4.81,2.4
2024-11-20, Johar Town ,131.5,15.7,67.1,5.85,0.0
2024-07-31,Township,58.4,30.6,67.1,1.25,0.0
2024-04-24,Gulberg,82.8,29.5,29.4,5.48,0.0
2023-09-20,Gulberg,71.7,31.0,75.0,3.0,0.7
2024-11-25,Gulberg,122.7,12.8,70.1,0.4,0.0
2024-06-20,Johar Town,42.0,39.9,50.5,0.57,0.0
2023-12-14,DHA,140.5,11.8,68.6,0.58,0.0
2024-03-09,Johar Town,118.4,24.1,42.7,2.97,0.0
2023-03-18,DHA,,16.2,40.4,5.17,0.0
2023-12-30,DHA,166.6,10.4,72.4,1.03,0.2
2024-11-10,Johar Town,110.6,19.5,67.7,2.26,0.0
2024-05-07, Walled City ,94.5,30.4,41.5,3.91,0.0
2024-08-16,Johar Town,37.4,36.5,76.0,4.26,1.4
2024-11-20,Township,176.2,15.8,64.6,0.93,0.0
2023-01-21,Township,159.9,11.0,52.7,1.76,0.0
2024-10-24,Gulberg,87.1,18.2,70.2,7.68,0.0
2024-10-16,JOHAR TOWN,106.5,21.5,67.9,1.18,0.0
2024-01-21, Township ,138.9,16.0,63.5,1.84,0.0
2023-12-31,Township,148.2,18.5,47.4,1.94,0.0
2023-10-14,Johar Town,99.6,28.4,66.9,1.52,0.6
2023-09-28, Walled City ,86.1,27.3,80.2,3.96,0.0
2024-10-13,Gulberg,96.6,19.9,71.2,1.6,0.0
2024-01-05,Gulberg,127.0,10.0,59.2,5.09,0.0
2023-11-22,Johar Town,137.4,10.0,64.9,3.17,0.0
2024-11-11, Johar Town ,,15.7,83.8,2.72,0.0
2024-02-27,Walled City,166.1,17.6,27.9,1.17,0.0
2024-08-13,Gulberg,29.0,27.9,68.0,9.88,0.0
2023-07-01,DHA,17.3,34.5,51.5,0.45,0.5
2024-05-15,Johar Town,82.7,28.9,44.2,1.09,0.0
2023-08-17,Township,65.8,31.8,65.7,0.66,0.0
2024-07-15,Gulberg,40.7,39.5,46.7,3.3,0.0
2024-03-03,Walled City,133.1,18.8,40.7,4.75,0.0
2024-06-20,Walled City,60.5,36.3,44.1,2.41,0.0
2024-11-06,Township,126.3,17.7,60.1,3.32,0.0
2023-03-21,DHA,79.3,19.8,61.6,3.34,0.0
2023-08-30,DHA,32.9,26.2,63.2,1.1,1.0
2023-11-05, Township ,130.7,22.1,74.1,4.57,0.0
2024-12-06,Township,158.4,11.3,78.1,2.83,0.0
2023-03-12,Township,146.1,19.4,59.6,0.61,0.0
2024-04-21,DHA,76.6,25.1,36.4,1.45,0.3
2023-03-03,DHA,90.9,15.7,37.1,3.82,0.0
2024-04-14,Johar Town,69.2,21.7,33.9,2.55,0.0
2024-02-01,Johar Town,121.5,8.5,67.6,4.28,0.0
2023-01-06,TOWNSHIP,124.1,16.3,72.6,7.03,0.0
2024-01-01,Walled City,187.9,5.4,49.3,2.18,0.0
2024-01-06,Gulberg,141.3,16.6,60.6,1.68,0.0
2024-10-29,Gulberg,119.8,15.6,88.9,1.6,0.0
2023-03-22,Walled City,101.4,20.6,47.4,8.86,0.4
2023-07-07,Gulberg,36.1,32.4,57.3,1.5,0.0
2023-04-27,Walled City,94.5,20.0,35.1,1.0,0.0
2024-08-29, DHA ,54.4,31.9,62.6,1.01,0.0
2023-06-01,Walled City,56.2,29.6,31.2,4.99,0.0
2024-05-05,Johar Town,53.6,27.5,18.3,2.38,0.0
2024-12-12,DHA,132.8,12.8,68.3,0.65,0.0
2024-06-26,Johar Town,33.5,35.9,58.5,1.43,0.0
2024-10-23,DHA,106.5,21.1,75.5,3.58,0.0
2024-10-09,Walled City,136.2,21.7,,1.07,0.0
2024-08-16,DHA,31.1,30.8,62.0,3.0,0.4
2024-09-26,Township,82.0,25.4,80.8,3.16,0.0
2023-12-08,DHA,139.3,17.2,66.5,1.29,0.0
2023-07-04,Township,27.4,39.1,46.4,2.59,3.6
2024-09-04,Township,90.6,32.2,76.0,0.95,3.2
2024-11-15,DHA,102.1,20.3,66.4,4.2,0.0
2024-10-11,Township,108.0,18.5,77.0,1.75,0.0
2024-03-25,Gulberg,109.0,19.9,25.8,0.68,0.0
2024-02-21,Walled City,130.5,7.3,,4.01,0.0
2024-02-20,Township,160.9,17.5,48.3,0.82,3.9
2023-12-05,Johar Town,118.6,15.1,60.0,3.97,1.1
2023-08-07,Township,55.9,34.9,76.8,2.01,0.0
2024-08-19,Gulberg,52.6,30.6,57.1,1.4,5.1
2023-06-23,DHA,17.2,34.5,45.6,0.73,0.0
2023-10-18,Township,136.8,18.6,73.6,1.16,0.0
2023-04-09,Gulberg,73.5,25.1,38.4,2.34,0.0
2023-04-01,Johar Town,94.3,21.3,44.9,1.29,0.0
2024-01-13,Gulberg,164.3,10.6,60.4,2.2,0.0
2024-06-26,Walled City,73.1,38.0,54.4,2.0,0.0
2024-09-01,DHA,36.3,34.6,64.5,0.62,0.0
2023-09-18,Township,92.9,30.0,80.6,2.3,1.4
2024-03-28,Township,99.8,21.8,37.8,5.78,0.0
2024-12-06,Gulberg,137.3,16.3,53.0,5.86,0.0
2023-11-07,Johar Town,104.2,19.2,81.7,4.89,0.0
2023-07-20,Walled City,16.7,38.4,38.1,7.09,0.0
2023-09-10,Township,89.2,30.2,80.0,0.23,0.0
2024-05-22,Township,66.8,26.5,42.8,2.42,0.0
2023-02-01,Johar Town,101.3,8.8,40.7,7.52,0.0
2024-06-01,Gulberg,68.0,35.1,45.1,0.34,0.0
2024-08-01,Johar Town,39.9,39.5,57.5,1.66,0.0
2023-08-23,Walled City,87.8,31.8,72.1,4.51,0.0
2023-09-10,Walled City,111.5,31.1,83.5,1.12,0.0
2023-08-11,DHA,13.3,38.5,,1.22,6.4
2024-05-01,Johar Town,58.7,28.7,26.7,1.2,0.0
2024-11-01,Johar Town,114.9,20.0,75.2,1.1,0.0
2024-11-05,DHA,114.6,22.1,72.4,1.94,0.0
2024-11-13,DHA,105.7,24.9,76.9,2.38,0.0
2024-08-18,Johar Town,8.0,35.7,71.5,7.27,2.6
2023-01-09,DHA,141.6,10.3,59.4,0.58,0.0
2023-06-14,DHA,14.7,41.0,32.9,1.89,0.0
2024-04-24,Walled City,120.1,28.8,24.5,4.41,0.0
2023-05-10,DHA,55.0,24.0,29.6,2.92,0.0
2024-09-21,DHA,56.4,32.8,66.2,2.41,0.0
2023-04-30,Johar Town,60.0,28.7,37.5,2.22,0.0
2023-09-17,Gulberg,59.8,31.2,60.2,0.77,0.0
2023-09-11,Township,43.2,34.9,75.2,9.13,0.0
2024-02-20,DHA,141.8,21.8,51.4,3.12,0.0
2023-06-20,Walled City,53.3,36.8,58.1,1.13,1.6
2023-11-20,DHA,143.8,15.8,75.4,3.43,0.0
2023-04-19,Johar Town,60.4,26.1,21.2,1.72,0.0
2023-07-06,Walled City,56.8,34.3,47.7,0.54,0.0
2024-11-06,Township,126.3,17.7,60.1,3.32,0.0
2024-03-21,Gulberg,93.9,20.0,41.6,3.98,0.0
2024-06-30,Gulberg,11.1,40.1,51.5,6.12,0.0
2024-10-20,Gulberg,109.3,19.5,64.7,0.61,0.0
2024-11-30,Gulberg,139.4,15.7,71.8,1.77,0.0
2024-11-28,Walled City,168.9,18.2,79.6,0.95,10.8
2024-04-16,DHA,70.4,25.1,51.9,1.95,0.0
2023-02-04,Gulberg,122.1,11.2,31.9,2.34,0.2
2024-11-12,DHA,104.5,13.0,73.3,1.21,0.0
2023-02-06,Township,154.4,14.8,45.3,3.26,0.0
2024-08-17,Township,45.0,32.1,42.2,4.2,0.0
2023-09-25,DHA,41.2,22.5,69.9,1.93,0.0
2024-10-29,Walled City,169.5,22.3,85.0,1.58,2.3
2023-12-23,Johar Town,122.0,10.8,64.6,3.44,0.0
2024-06-15,Gulberg,21.1,30.9,47.6,3.96,12.2
2024-05-13,Walled City,96.9,29.8,38.3,0.5,0.0
2024-10-28,Township,-999.0,16.9,69.0,1.12,0.0
2023-05-26,Johar Town,50.1,36.2,57.7,4.41,0.0
2024-02-19,Gulberg,142.0,15.0,42.0,2.4,0.0
2023-05-06,Gulberg,65.4,29.4,20.7,0.32,0.0
2023-07-26,JOHAR TOWN,53.1,32.7,53.6,1.91,0.0
2023-06-27,Johar Town,49.2,39.7,55.2,2.93,0.6
2024-11-04,Walled City,151.7,17.8,71.6,5.09,0.0
2024-09-12,Township,78.3,29.2,75.8,3.24,1.9
2023-12-22,TOWNSHIP,146.9,14.3,61.1,2.0,4.9
2024-05-26,Township,,39.0,27.0,0.67,0.0
2024-04-07,Johar Town,74.3,19.8,38.2,,0.0
2023-01-02,Township,148.6,13.3,68.4,3.55,0.0
2023-11-27,Walled City,149.6,18.4,68.8,2.79,0.0
2023-07-07,Gulberg,36.1,32.4,57.3,1.5,0.0
2024-01-25,DHA,123.8,10.9,48.1,3.01,3.8
2024-07-08,Johar Town,37.9,39.4,46.5,1.29,0.0
2023-12-07,Gulberg,147.6,11.6,63.0,4.15,0.0
2023-05-02,Gulberg,57.1,29.5,60.9,4.84,0.0
2023-01-07,Walled City,178.8,7.2,57.9,0.36,0.0
2023-02-28,Township,150.4,18.2,57.2,0.3,0.0
2023-09-02,Gulberg,70.7,34.0,58.0,2.29,0.0
2024-01-28,DHA,123.1,11.0,40.0,0.92,0.0
2023-11-23,Johar Town,119.2,18.0,72.0,5.8,0.0
2023-08-13,Walled City,73.4,29.3,73.2,3.15,0.0
2024-07-08,Walled City,41.9,32.6,51.9,4.68,0.0
2024-09-01,Johar Town,92.5,36.1,78.1,2.17,0.0
2024-05-06,Township,66.6,28.3,30.5,6.8,0.0
2024-11-26,Johar Town,107.0,18.6,61.2,1.55,0.0
2024-10-12,Walled City,101.7,19.3,80.5,8.85,0.0
2024-01-07,Township,143.8,15.3,54.4,1.41,0.0
2024-08-15,Gulberg,55.4,37.8,73.9,3.78,0.0
2023-02-02,Johar Town,136.5,8.7,70.1,2.59,0.0
2024-12-30,Gulberg,154.5,9.3,51.4,0.5,0.0
2024-07-07,DHA,20.6,35.9,45.8,0.24,2.9
2024-08-26,Johar Town,20.0,34.2,75.5,8.37,0.0
2024-08-25,Johar Town,35.4,31.6,77.6,5.71,0.0
2023-08-30,Walled City,83.3,28.4,66.0,1.37,3.9
2024-05-25,Walled City,94.7,28.2,34.0,0.88,0.0
2023-01-10,Gulberg,129.6,13.8,63.3,4.66,0.0
2024-01-13,Township,133.4,11.6,45.0,4.11,0.0
2023-09-10,DHA,,35.4,65.6,4.66,1.6
2023-05-12,DHA,49.1,24.8,39.3,1.9,0.0
2023-08-27,DHA,17.3,28.3,77.9,3.64,2.8
2023-11-15,Johar Town,107.3,17.4,59.1,2.95,0.0
2024-08-24,DHA,26.1,33.5,60.0,5.1,0.0
2023-01-02,DHA,109.3,15.9,66.8,1.69,0.0
2023-08-02,Gulberg,8.0,29.1,46.3,3.13,0.0
2024-05-10,Johar Town,68.7,25.5,35.8,2.17,0.0
2024-05-28,Gulberg,60.0,31.0,37.4,0.63,0.0
2024-02-14,Walled City,155.1,7.9,46.2,2.47,0.0
2023-05-23,Walled City,,27.5,35.9,4.89,0.0
2024-07-24,Walled City,78.2,39.2,68.4,0.99,0.0
2024-04-28,Walled City,112.8,28.0,35.8,2.05,0.0
2024-09-25,Township,70.1,26.7,62.8,3.55,1.8
2024-06-20,Township,39.0,33.6,32.1,0.56,0.0
2023-07-26,Gulberg,35.2,40.9,60.3,5.19,0.0
2023-05-04,Township,77.7,31.9,43.6,1.28,0.0
2024-04-02,Walled City,148.7,26.0,13.6,1.76,1.0
2024-12-02,GULBERG,127.3,13.5,66.7,1.47,0.0
2023-04-29,Johar Town,22.0,29.5,31.9,4.8,0.4
2023-07-18,Walled City,66.5,34.0,64.7,4.42,0.0
2023-10-13,DHA,-999.0,24.0,,5.5,0.0
2023-09-28,Johar Town,51.7,27.2,85.2,5.76,0.0
2023-08-05,Johar Town,8.0,34.2,55.3,8.05,1.2
2024-09-24,Gulberg,75.8,24.9,86.2,4.53,0.0
2023-05-19,DHA,26.9,39.8,44.9,1.0,0.0
2024-05-13,Township,42.1,32.1,32.7,8.76,0.0
2023-09-20,Johar Town,67.8,30.7,78.1,3.63,0.0
2023-09-16,Walled City,99.4,27.2,66.9,2.55,0.0
2024-07-16,GULBERG,54.7,33.9,62.4,2.19,0.0
2023-11-02,Gulberg,117.7,17.4,67.6,1.0,0.0
2023-09-24,Walled City,94.5,28.9,65.8,1.71,0.0
2024-01-19,Township,141.1,11.9,51.5,2.97,0.0
2024-01-11,Gulberg,149.5,11.5,60.8,1.08,0.0
2024-02-16,DHA,122.8,14.2,39.1,1.03,0.0
2024-03-09,Gulberg,111.2,21.7,32.6,2.65,0.0
2023-04-14,Johar Town,68.8,27.2,35.1,3.54,0.0
2023-04-24,Walled City,105.2,25.1,30.7,2.11,0.0
2023-12-26,Gulberg,125.8,12.2,58.7,2.07,0.0
2023-01-01,Johar Town,,10.1,66.0,2.73,4.8
2023-11-22,DHA,117.6,19.8,78.3,1.12,2.1
2023-10-24,Gulberg,88.6,20.2,,6.73,0.0
2024-02-08,Gulberg,151.0,22.8,39.1,0.82,0.0
2023-07-15,Johar Town,30.4,33.7,49.1,1.46,0.0
2023-11-15,Gulberg,126.7,9.8,66.5,2.96,0.0
2024-11-03,Gulberg,104.1,21.1,73.4,5.79,0.0
2024-05-27,Walled City,92.3,34.0,40.0,0.73,0.0
2024-05-18,Johar Town,33.8,30.5,20.9,5.37,0.0
2024-04-19,Gulberg,60.4,26.1,32.7,3.34,0.0
2023-05-21,Walled City,87.9,33.2,29.8,0.32,0.0
2023-10-18,Johar Town,78.5,20.2,79.5,3.74,0.0
2023-09-09,Walled City,77.5,31.6,80.1,1.39,5.9
2024-04-03,Walled City,104.9,23.0,45.0,11.43,0.0
2024-05-12,Walled City,84.9,31.6,29.6,2.34,0.0
2023-07-25,Walled City,58.5,31.0,55.5,3.08,0.0
2023-04-28,Township,75.7,25.5,32.0,2.47,0.0
2024-05-16,DHA,38.3,30.4,31.7,0.31,0.0
2023-07-06,Gulberg,37.6,38.2,48.6,0.12,0.0
2023-09-23,Township,104.4,25.7,99.5,3.63,0.0
2023-03-17,Johar Town,131.7,26.7,34.0,2.01,0.0
2024-08-21,Johar Town,47.1,29.7,72.1,0.8,0.0
2024-10-23,Walled City,144.4,19.8,69.0,3.0,0.4
2023-05-29,DHA,16.8,35.2,51.3,2.26,0.0
2023-11-05,DHA,66.2,20.9,72.5,5.07,0.0
2023-03-30,DHA,64.7,21.9,39.3,1.27,0.0
2024-09-03,DHA,46.7,35.7,80.6,1.9,4.3
2024-03-14,Gulberg,98.6,16.4,40.4,6.05,0.0
2023-03-17,Walled City,153.5,22.0,41.9,1.37,0.0
2024-06-24,Johar Town,60.4,36.7,31.6,0.43,0.0
2024-03-23, Walled City ,147.0,19.8,41.6,1.04,0.0
2024-05-15,Gulberg,41.5,28.7,27.7,5.42,0.0
2024-05-26,GULBERG,15.9,34.6,45.0,5.96,0.0
2023-12-13,Township,146.3,14.9,49.9,2.06,1.3
2023-07-13,WALLED CITY,79.5,32.2,62.3,0.46,0.0
2024-04-29,DHA,,27.9,39.5,3.34,0.3
2024-12-14,Township,152.7,10.8,54.9,1.59,0.0
2024-05-10,Township,89.2,26.0,33.7,0.56,0.0
2024-05-22,Johar Town,64.4,32.5,50.1,2.84,0.0
2024-07-27,DHA,37.9,37.3,62.8,1.21,0.0
2023-12-28,GULBERG,153.6,16.5,73.8,3.48,3.1
2024-07-14,Johar Town,17.8,33.8,56.5,2.27,4.7
2024-10-14,Johar Town,96.7,24.3,74.5,1.3,0.0
2024-07-31,DHA,8.0,35.8,53.1,7.65,0.0
2024-11-12,Walled City,144.4,14.7,76.3,7.5,0.0
2024-05-20,Township,71.9,30.5,28.5,7.23,0.0
2024-06-23,Gulberg,-999.0,36.2,37.7,1.13,8.4
2024-01-25,Walled City,162.6,13.4,50.7,2.48,0.0
2024-06-17,Walled City,76.4,38.0,35.6,0.3,2.7
2024-07-23,DHA,14.5,41.4,49.0,,3.3
2023-02-24,Township,141.9,17.5,46.0,2.49,0.0
2023-08-15,Johar Town,47.5,34.1,68.8,1.5,0.0
2024-03-19,DHA,80.4,17.7,32.1,3.07,0.0
2023-03-06,Township,111.1,15.5,43.5,2.73,0.0
2023-05-08,DHA,48.8,29.2,33.5,3.74,0.0
2024-02-27,TOWNSHIP,135.3,18.1,46.0,3.73,0.0
2024-04-17,Walled City,106.0,26.8,24.8,3.14,0.0
2024-12-28,DHA,,13.5,68.9,1.74,0.0
2023-12-10,Walled City,-999.0,9.5,87.0,,0.0
2023-03-16,Johar Town,80.9,20.2,46.9,5.46,0.0
2023-08-22,Township,51.2,37.0,60.2,3.75,2.4
2023-05-12,Gulberg,43.6,33.8,48.1,3.92,0.0
2023-12-24,Walled City,,11.9,77.3,2.35,0.0
2023-10-28,JOHAR TOWN,95.7,17.2,66.2,2.87,0.0
2024-06-16,Gulberg,46.7,34.8,29.4,3.52,0.0
2023-12-26,Gulberg,125.8,12.2,58.7,2.07,0.0
2024-03-16,DHA,113.5,17.8,47.7,1.6,0.6
2024-06-29,Township,78.2,36.1,62.0,1.57,0.0
2023-06-28,Gulberg,8.0,35.2,35.5,5.21,0.0
2024-06-09,Township,8.0,31.0,52.1,13.2,0.0
2024-11-28,Township,146.0,20.8,76.5,1.4,0.0
2023-06-22,Township,60.1,34.4,48.7,2.62,0.0
2024-09-07,Walled City,107.3,31.3,76.2,3.14,3.6
2024-10-18,Township,82.1,21.3,,5.43,0.0
2024-03-20,Gulberg,,19.5,32.5,1.36,0.0
2023-07-22,Walled City,56.1,39.2,51.0,2.61,0.0
2024-09-02,DHA,34.7,29.3,64.3,1.71,0.0
2024-09-30,Johar Town,71.8,25.0,68.0,1.14,3.8
2023-05-02,Walled City,72.6,26.0,40.1,5.13,0.0
2024-05-19,Township,,33.0,28.3,1.72,0.0
2023-01-09,Township,155.4,10.1,62.6,1.52,0.0
2024-08-12,Johar Town,64.1,33.9,65.8,2.51,0.0
2024-04-30,DHA,75.5,31.2,,2.41,0.0
2023-08-26, Walled City ,82.4,31.3,77.0,3.32,0.5
2024-10-18, Walled City ,126.1,17.6,83.6,2.81,0.0
2023-03-21,Gulberg,95.3,20.6,29.3,4.41,0.0
2023-03-14,Johar Town,99.2,14.7,34.4,1.89,0.0
2023-06-05,DHA,24.4,34.2,41.1,0.95,0.0
